active;id;type;furniture_type_id;door_type_ids;interface_name;name;unit;currency;price;pathImg
+;id_28;sliding;white;one_slide,two_slide;Flush Pull Handle 1;Flush Pull Handle 1 (white);pcs.;USD;75;
+;id_22_1;sliding;chrome;one_slide,two_slide;Flush Pull Handle 2;Flush Pull Handle 2 (chrome);pcs.;USD;65;
+;id_23_1;sliding;chrome_matte;one_slide,two_slide;Flush Pull Handle 2;Flush Pull Handle 2 (matte chrome);pcs.;USD;80;
+;id_24_1;sliding;black;one_slide,two_slide;Flush Pull Handle 2;Flush Pull Handle 2 (black);pcs.;USD;70;
+;id_25_1;sliding;bronze;one_slide,two_slide;Flush Pull Handle 2;Flush Pull Handle 2 (bronze);pcs.;USD;75;
+;id_26_1;sliding;gold;one_slide,two_slide;Flush Pull Handle 2;Flush Pull Handle 2 (gold);pcs.;USD;75;
+;id_27_1;sliding;gold_matte;one_slide,two_slide;Flush Pull Handle 2;Flush Pull Handle 2 (matte gold);pcs.;USD;80;
+;id_28_1;sliding;white;one_slide,two_slide;Flush Pull Handle 2;Flush Pull Handle 2 (white);pcs.;USD;75;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
